Тип несоответствия,TXT индекс,SLI индекс,Элемент из txt,Элемент из sli
Несоответствие индексов,470,331,1.75000 | 6.25000 | 9.90000      1.25000 | 6.25000 | 9.90000      1.75000 | 5.75000 | 9.90000      1.25000 | 5.75000 | 9.90000,1.75000 | 6.25000 | 9.90000      1.25000 | 6.25000 | 9.90000      1.25000 | 5.75000 | 9.90000      1.75000 | 5.75000 | 9.90000
Несоответствие индексов,1791,1421,6.25000 | 5.75000 | 3.30000      5.75000 | 5.75000 | 3.30000      6.32500 | 5.25000 | 3.30000      5.75000 | 5.25000 | 3.30000,6.25000 | 5.75000 | 3.30000      5.75000 | 5.75000 | 3.30000      5.75000 | 5.25000 | 3.30000      6.32500 | 5.25000 | 3.30000
Несоответствие индексов,3620,2963,13.25000 | 3.25000 | 6.60000      12.75000 | 3.25000 | 6.60000      13.25000 | 2.75000 | 6.60000      12.75000 | 2.75000 | 6.60000,13.25000 | 3.25000 | 6.60000      12.75000 | 3.25000 | 6.60000      12.75000 | 2.75000 | 6.60000      13.25000 | 2.75000 | 6.60000
Несоответствие индексов,40,31,0.75000 | 1.25000 | 0.00000      0.75000 | 0.75000 | 0.00000      0.75000 | 1.25000 | -0.55000      0.75000 | 0.75000 | -0.55000,0.75000 | 1.25000 | 0.00000      0.75000 | 0.75000 | 0.00000      0.75000 | 0.75000 | -0.55000      0.75000 | 1.25000 | -0.55000
Несоответствие индексов,4181,3472,15.25000 | 9.75000 | 3.30000      14.75000 | 9.75000 | 3.30000      15.25000 | 9.25000 | 3.30000      14.75000 | 9.25000 | 3.30000,15.25000 | 9.75000 | 3.30000      14.75000 | 9.75000 | 3.30000      14.75000 | 9.25000 | 3.30000      15.25000 | 9.25000 | 3.30000
Несоответствие индексов,865,686,3.25000 | 7.75000 | 6.60000      2.75000 | 7.75000 | 6.60000      3.25000 | 7.25000 | 6.60000      2.75000 | 7.25000 | 6.60000,3.25000 | 7.75000 | 6.60000      2.75000 | 7.75000 | 6.60000      2.75000 | 7.25000 | 6.60000      3.25000 | 7.25000 | 6.60000
Несоответствие индексов,643,488,2.25000 | 11.75000 | 0.00000      1.75000 | 11.75000 | 0.00000      2.25000 | 11.25000 | 0.00000      1.75000 | 11.25000 | 0.00000,2.25000 | 11.75000 | 0.00000      1.75000 | 11.75000 | 0.00000      1.75000 | 11.25000 | 0.00000      2.25000 | 11.25000 | 0.00000
Несоответствие индексов,1390,1163,5.25000 | 10.25000 | 9.90000      4.75000 | 10.25000 | 9.90000      5.25000 | 9.75000 | 9.90000      4.75000 | 9.75000 | 9.90000,5.25000 | 10.25000 | 9.90000      4.75000 | 10.25000 | 9.90000      4.75000 | 9.75000 | 9.90000      5.25000 | 9.75000 | 9.90000
Несоответствие индексов,4301,3580,15.75000 | 8.75000 | 9.90000      15.25000 | 8.75000 | 9.90000      15.75000 | 8.25000 | 9.90000      15.25000 | 8.25000 | 9.90000,15.75000 | 8.75000 | 9.90000      15.25000 | 8.75000 | 9.90000      15.25000 | 8.25000 | 9.90000      15.75000 | 8.25000 | 9.90000
Несоответствие индексов,4415,4549,15.75000 | 2.75000 | 0.00000      15.75000 | 3.25000 | 0.00000,15.75000 | 2.75000 | 0.00000      15.75000 | 3.25000 | 0.00000
Несоответствие индексов,910,731,3.25000 | 12.75000 | -1.65000      3.25000 | 12.75000 | -2.20000      2.75000 | 12.75000 | -1.65000      2.75000 | 12.75000 | -2.20000,3.25000 | 12.75000 | -1.65000      3.25000 | 12.75000 | -2.20000      2.75000 | 12.75000 | -2.20000      2.75000 | 12.75000 | -1.65000
Несоответствие индексов,290,167,1.25000 | 0.75000 | -2.75000      1.25000 | 0.75000 | -3.30000      0.75000 | 0.75000 | -2.75000      0.75000 | 0.75000 | -3.30000,1.25000 | 0.75000 | -2.75000      1.25000 | 0.75000 | -3.30000      0.75000 | 0.75000 | -3.30000      0.75000 | 0.75000 | -2.75000
Несоответствие индексов,4091,4498,14.25000 | 12.75000 | 6.60000      14.75000 | 12.75000 | 6.60000,14.25000 | 12.75000 | 6.60000      14.75000 | 12.75000 | 6.60000
Несоответствие индексов,4332,3611,15.75000 | 12.75000 | 3.30000      15.25000 | 12.75000 | 3.30000      15.75000 | 12.25000 | 3.30000      15.25000 | 12.25000 | 3.30000,15.75000 | 12.75000 | 3.30000      15.25000 | 12.75000 | 3.30000      15.25000 | 12.25000 | 3.30000      15.75000 | 12.25000 | 3.30000
Несоответствие индексов,847,672,3.25000 | 6.25000 | 6.60000      2.75000 | 6.25000 | 6.60000      3.25000 | 5.75000 | 6.60000      2.75000 | 5.75000 | 6.60000,3.25000 | 6.25000 | 6.60000      2.75000 | 6.25000 | 6.60000      2.75000 | 5.75000 | 6.60000      3.25000 | 5.75000 | 6.60000
Несоответствие индексов,4405,3659,15.75000 | 2.75000 | -1.65000      15.75000 | 2.25000 | -1.65000      15.75000 | 2.75000 | -2.20000      15.75000 | 2.25000 | -2.20000,15.75000 | 2.75000 | -1.65000      15.75000 | 2.25000 | -1.65000      15.75000 | 2.25000 | -2.20000      15.75000 | 2.75000 | -2.20000
Несоответствие индексов,1869,1491,6.75000 | 9.25000 | 3.30000      6.25000 | 9.25000 | 3.30000      6.75000 | 8.75000 | 3.30000      6.25000 | 8.75000 | 3.30000,6.75000 | 9.25000 | 3.30000      6.25000 | 9.25000 | 3.30000      6.25000 | 8.75000 | 3.30000      6.75000 | 8.75000 | 3.30000
