Тип несоответствия,TXT индекс,SLI индекс,Элемент из txt,Элемент из sli
,,,,
Несоответствие индексов,2744,2273,10.25000 | 7.25000 | 6.60000      9.75000 | 7.25000 | 6.60000      10.25000 | 6.75000 | 6.60000      9.75000 | 6.75000 | 6.60000,10.25000 | 7.25000 | 6.60000      9.75000 | 7.25000 | 6.60000      9.75000 | 6.75000 | 6.60000      10.25000 | 6.75000 | 6.60000
Несоответствие индексов,808,633,3.25000 | 1.25000 | 9.90000      2.75000 | 1.25000 | 9.90000      3.25000 | 0.75000 | 9.90000      2.75000 | 0.75000 | 9.90000,3.25000 | 1.25000 | 9.90000      2.75000 | 1.25000 | 9.90000      2.75000 | 0.75000 | 9.90000      3.25000 | 0.75000 | 9.90000
Несоответствие индексов,633,478,2.25000 | 10.25000 | 6.60000      1.75000 | 10.25000 | 6.60000      2.25000 | 9.75000 | 6.60000      1.75000 | 9.75000 | 6.60000,2.25000 | 10.25000 | 6.60000      1.75000 | 10.25000 | 6.60000      1.75000 | 9.75000 | 6.60000      2.25000 | 9.75000 | 6.60000
Несоответствие индексов,2034,4190,6.75000 | 12.75000 | 3.30000      7.25000 | 12.75000 | 3.30000,6.75000 | 12.75000 | 3.30000      7.25000 | 12.75000 | 3.30000
Несоответствие индексов,2150,1745,7.75000 | 11.25000 | 3.30000      7.25000 | 11.25000 | 3.30000      7.75000 | 10.75000 | 3.30000      7.25000 | 10.75000 | 3.30000,7.75000 | 11.25000 | 3.30000      7.25000 | 11.25000 | 3.30000      7.25000 | 10.75000 | 3.30000      7.75000 | 10.75000 | 3.30000
Несоответствие индексов,3185,2572,11.25000 | 11.25000 | 3.30000      10.75000 | 11.25000 | 3.30000      11.25000 | 10.75000 | 3.30000      10.75000 | 10.75000 | 3.30000,11.25000 | 11.25000 | 3.30000      10.75000 | 11.25000 | 3.30000      10.75000 | 10.75000 | 3.30000      11.25000 | 10.75000 | 3.30000
Несоответствие индексов,1998,1608,7.25000 | 9.75000 | 0.00000      6.75000 | 9.75000 | 0.00000      7.25000 | 9.25000 | 0.00000      6.75000 | 9.25000 | 0.00000,7.25000 | 9.75000 | 0.00000      6.75000 | 9.75000 | 0.00000      6.75000 | 9.25000 | 0.00000      7.25000 | 9.25000 | 0.00000
Несоответствие индексов,2619,2166,9.75000 | 8.25000 | 3.30000      9.25000 | 8.25000 | 3.30000      9.75000 | 7.75000 | 3.30000      9.25000 | 7.75000 | 3.30000,9.75000 | 8.25000 | 3.30000      9.25000 | 8.25000 | 3.30000      9.25000 | 7.75000 | 3.30000      9.75000 | 7.75000 | 3.30000
Несоответствие индексов,2690,2224,10.17500 | 2.75000 | 6.60000      9.60000 | 2.75000 | 6.60000      10.17500 | 2.25000 | 6.60000      9.60000 | 2.25000 | 6.60000,10.17500 | 2.75000 | 6.60000      9.60000 | 2.75000 | 6.60000      9.60000 | 2.25000 | 6.60000      10.17500 | 2.25000 | 6.60000
Несоответствие индексов,3351,2718,12.25000 | 1.25000 | 3.30000      11.75000 | 1.25000 | 3.30000      12.25000 | 0.75000 | 3.30000      11.75000 | 0.75000 | 3.30000,12.25000 | 1.25000 | 3.30000      11.75000 | 1.25000 | 3.30000      11.75000 | 0.75000 | 3.30000      12.25000 | 0.75000 | 3.30000
Несоответствие индексов,231,3900,0.75000 | 10.75000 | 9.90000      0.75000 | 11.25000 | 9.90000,0.75000 | 10.75000 | 9.90000      0.75000 | 11.25000 | 9.90000
Несоответствие индексов,3625,2968,13.25000 | 3.75000 | 9.90000      12.75000 | 3.75000 | 9.90000      13.25000 | 3.25000 | 9.90000      12.75000 | 3.25000 | 9.90000,13.25000 | 3.75000 | 9.90000      12.75000 | 3.75000 | 9.90000      12.75000 | 3.25000 | 9.90000      13.25000 | 3.25000 | 9.90000
Несоответствие индексов,3807,3134,13.75000 | 10.25000 | 3.30000      13.25000 | 10.25000 | 3.30000      13.75000 | 9.75000 | 3.30000      13.25000 | 9.75000 | 3.30000,13.75000 | 10.25000 | 3.30000      13.25000 | 10.25000 | 3.30000      13.25000 | 9.75000 | 3.30000      13.75000 | 9.75000 | 3.30000
Несоответствие индексов,2276,1859,8.25000 | 10.25000 | 9.90000      7.75000 | 10.25000 | 9.90000      8.25000 | 9.75000 | 9.90000      7.75000 | 9.75000 | 9.90000,8.25000 | 10.25000 | 9.90000      7.75000 | 10.25000 | 9.90000      7.75000 | 9.75000 | 9.90000      8.25000 | 9.75000 | 9.90000
Несоответствие индексов,3392,2759,12.25000 | 6.25000 | 6.60000      11.75000 | 6.25000 | 6.60000      12.25000 | 5.75000 | 6.60000      11.75000 | 5.75000 | 6.60000,12.25000 | 6.25000 | 6.60000      11.75000 | 6.25000 | 6.60000      11.75000 | 5.75000 | 6.60000      12.25000 | 5.75000 | 6.60000
Несоответствие индексов,2539,4243,8.75000 | 12.75000 | 9.90000      9.25000 | 12.75000 | 9.90000,8.75000 | 12.75000 | 9.90000      9.25000 | 12.75000 | 9.90000
Несоответствие индексов,1567,4050,5.75000 | 0.75000 | 6.60000      5.75000 | 0.75000 | 9.90000,5.75000 | 0.75000 | 6.60000      5.75000 | 0.75000 | 9.90000
Несоответствие индексов,4072,3375,14.75000 | 11.75000 | 6.60000      14.25000 | 11.75000 | 6.60000      14.75000 | 11.25000 | 6.60000      14.25000 | 11.25000 | 6.60000,14.75000 | 11.75000 | 6.60000      14.25000 | 11.75000 | 6.60000      14.25000 | 11.25000 | 6.60000      14.75000 | 11.25000 | 6.60000
Несоответствие индексов,4105,3400,15.25000 | 1.25000 | -3.30000      14.75000 | 1.12500 | -3.30000      15.25000 | 0.75000 | -3.30000      14.75000 | 0.75000 | -3.30000,15.25000 | 1.25000 | -3.30000      14.75000 | 1.12500 | -3.30000      14.75000 | 0.75000 | -3.30000      15.25000 | 0.75000 | -3.30000
Несоответствие индексов,4189,3480,15.25000 | 10.75000 | 3.30000      14.75000 | 10.75000 | 3.30000      15.25000 | 10.25000 | 3.30000      14.75000 | 10.25000 | 3.30000,15.25000 | 10.75000 | 3.30000      14.75000 | 10.75000 | 3.30000      14.75000 | 10.25000 | 3.30000      15.25000 | 10.25000 | 3.30000
Несоответствие индексов,3289,2664,11.75000 | 8.25000 | 9.90000      11.25000 | 8.25000 | 9.90000      11.75000 | 7.75000 | 9.90000      11.25000 | 7.75000 | 9.90000,11.75000 | 8.25000 | 9.90000      11.25000 | 8.25000 | 9.90000      11.25000 | 7.75000 | 9.90000      11.75000 | 7.75000 | 9.90000
Несоответствие индексов,3892,3211,14.25000 | 5.75000 | 6.60000      13.75000 | 5.75000 | 6.60000      14.25000 | 5.25000 | 6.60000      13.75000 | 5.25000 | 6.60000,14.25000 | 5.75000 | 6.60000      13.75000 | 5.75000 | 6.60000      13.75000 | 5.25000 | 6.60000      14.25000 | 5.25000 | 6.60000
Несоответствие индексов,299,3925,0.75000 | 0.75000 | 9.90000      1.25000 | 0.75000 | 9.90000,0.75000 | 0.75000 | 9.90000      1.25000 | 0.75000 | 9.90000
Несоответствие индексов,2463,2026,9.25000 | 5.75000 | 0.00000      8.75000 | 5.75000 | 0.00000      9.25000 | 5.25000 | 0.00000      8.75000 | 5.25000 | 0.00000,9.25000 | 5.75000 | 0.00000      8.75000 | 5.75000 | 0.00000      8.75000 | 5.25000 | 0.00000      9.25000 | 5.25000 | 0.00000
Несоответствие индексов,2775,2304,10.25000 | 11.25000 | 3.30000      9.75000 | 11.25000 | 3.30000      10.25000 | 10.75000 | 3.30000      9.75000 | 10.75000 | 3.30000,10.25000 | 11.25000 | 3.30000      9.75000 | 11.25000 | 3.30000      9.75000 | 10.75000 | 3.30000      10.25000 | 10.75000 | 3.30000
Несоответствие индексов,1200,989,4.75000 | 3.25000 | 3.30000      4.25000 | 3.25000 | 3.30000      4.75000 | 2.75000 | 3.30000      4.25000 | 2.75000 | 3.30000,4.75000 | 3.25000 | 3.30000      4.25000 | 3.25000 | 3.30000      4.25000 | 2.75000 | 3.30000      4.75000 | 2.75000 | 3.30000
Несоответствие индексов,2847,2368,10.75000 | 2.75000 | 9.90000      10.25000 | 2.75000 | 9.90000      10.75000 | 2.25000 | 9.90000      10.25000 | 2.25000 | 9.90000,10.75000 | 2.75000 | 9.90000      10.25000 | 2.75000 | 9.90000      10.25000 | 2.25000 | 9.90000      10.75000 | 2.25000 | 9.90000
Несоответствие индексов,175,101,0.75000 | 8.25000 | 0.00000      0.75000 | 7.75000 | 0.00000      0.75000 | 8.25000 | -0.55000      0.75000 | 7.75000 | -0.55000,0.75000 | 8.25000 | 0.00000      0.75000 | 7.75000 | 0.00000      0.75000 | 7.75000 | -0.55000      0.75000 | 8.25000 | -0.55000
Несоответствие индексов,80,51,0.75000 | 3.75000 | -2.20000      0.75000 | 3.25000 | -2.20000      0.75000 | 3.75000 | -2.75000      0.75000 | 3.25000 | -2.75000,0.75000 | 3.75000 | -2.20000      0.75000 | 3.25000 | -2.20000      0.75000 | 3.25000 | -2.75000      0.75000 | 3.75000 | -2.75000
Несоответствие индексов,1473,1238,5.75000 | 6.25000 | 9.90000      5.25000 | 6.25000 | 9.90000      5.75000 | 5.75000 | 9.90000      5.25000 | 5.75000 | 9.90000,5.75000 | 6.25000 | 9.90000      5.25000 | 6.25000 | 9.90000      5.25000 | 5.75000 | 9.90000      5.75000 | 5.75000 | 9.90000
Несоответствие индексов,2116,1711,7.75000 | 7.12500 | -3.30000      7.25000 | 7.12500 | -3.30000      7.75000 | 6.75000 | -3.30000      7.25000 | 6.75000 | -3.30000,7.75000 | 7.12500 | -3.30000      7.25000 | 7.12500 | -3.30000      7.25000 | 6.75000 | -3.30000      7.75000 | 6.75000 | -3.30000
Несоответствие индексов,3874,3193,14.25000 | 3.75000 | 0.00000      13.75000 | 3.75000 | 0.00000      14.25000 | 3.25000 | 0.00000      13.75000 | 3.25000 | 0.00000,14.25000 | 3.75000 | 0.00000      13.75000 | 3.75000 | 0.00000      13.75000 | 3.25000 | 0.00000      14.25000 | 3.25000 | 0.00000
Несоответствие индексов,2038,1644,7.25000 | 0.75000 | -1.65000      7.25000 | 0.75000 | -2.20000      6.90000 | 0.75000 | -1.65000      6.75000 | 0.75000 | -2.20000,7.25000 | 0.75000 | -1.65000      7.25000 | 0.75000 | -2.20000      6.75000 | 0.75000 | -2.20000      6.90000 | 0.75000 | -1.65000
Несоответствие индексов,3559,2910,12.75000 | 10.75000 | 3.30000      12.25000 | 10.75000 | 3.30000      12.75000 | 10.25000 | 3.30000      12.25000 | 10.25000 | 3.30000,12.75000 | 10.75000 | 3.30000      12.25000 | 10.75000 | 3.30000      12.25000 | 10.25000 | 3.30000      12.75000 | 10.25000 | 3.30000
Несоответствие индексов,1517,1278,5.75000 | 11.25000 | 3.30000      5.25000 | 11.25000 | 3.30000      5.75000 | 10.75000 | 3.30000      5.25000 | 10.75000 | 3.30000,5.75000 | 11.25000 | 3.30000      5.25000 | 11.25000 | 3.30000      5.25000 | 10.75000 | 3.30000      5.75000 | 10.75000 | 3.30000
Несоответствие индексов,1340,1117,5.25000 | 4.75000 | 9.90000      4.75000 | 4.75000 | 9.90000      5.25000 | 4.25000 | 9.90000      4.75000 | 4.25000 | 9.90000,5.25000 | 4.75000 | 9.90000      4.75000 | 4.75000 | 9.90000      4.75000 | 4.25000 | 9.90000      5.25000 | 4.25000 | 9.90000
Несоответствие индексов,1575,4058,5.75000 | 1.25000 | 9.90000      5.75000 | 1.75000 | 9.90000,5.75000 | 1.25000 | 9.90000      5.75000 | 1.75000 | 9.90000
Несоответствие индексов,484,341,1.75000 | 7.25000 | 9.90000      1.25000 | 7.25000 | 9.90000      1.75000 | 6.75000 | 9.90000      1.25000 | 6.75000 | 9.90000,1.75000 | 7.25000 | 9.90000      1.25000 | 7.25000 | 9.90000      1.25000 | 6.75000 | 9.90000      1.75000 | 6.75000 | 9.90000
Несоответствие индексов,4172,3463,15.25000 | 8.75000 | 0.00000      14.75000 | 8.75000 | 0.00000      15.25000 | 8.25000 | 0.00000      14.75000 | 8.25000 | 0.00000,15.25000 | 8.75000 | 0.00000      14.75000 | 8.75000 | 0.00000      14.75000 | 8.25000 | 0.00000      15.25000 | 8.25000 | 0.00000
Несоответствие индексов,1769,1403,6.25000 | 12.25000 | 0.00000      5.75000 | 12.25000 | 0.00000      6.25000 | 11.75000 | 0.00000      5.75000 | 11.75000 | 0.00000,6.25000 | 12.25000 | 0.00000      5.75000 | 12.25000 | 0.00000      5.75000 | 11.75000 | 0.00000      6.25000 | 11.75000 | 0.00000
Несоответствие индексов,455,316,1.75000 | 4.75000 | 0.00000      1.25000 | 4.75000 | 0.00000      1.75000 | 4.25000 | 0.00000      1.25000 | 4.25000 | 0.00000,1.75000 | 4.75000 | 0.00000      1.25000 | 4.75000 | 0.00000      1.25000 | 4.25000 | 0.00000      1.75000 | 4.25000 | 0.00000
Несоответствие индексов,4624,3776,16.12500 | 2.25000 | -3.30000      15.75000 | 2.25000 | -3.30000      16.12500 | 1.75000 | -3.30000      15.75000 | 1.75000 | -3.30000,16.12500 | 2.25000 | -3.30000      15.75000 | 2.25000 | -3.30000      15.75000 | 1.75000 | -3.30000      16.12500 | 1.75000 | -3.30000
Несоответствие индексов,2662,2209,9.75000 | 12.75000 | -1.10000      9.75000 | 12.75000 | -1.65000      9.25000 | 12.75000 | -1.10000      9.25000 | 12.75000 | -1.65000,9.75000 | 12.75000 | -1.10000      9.75000 | 12.75000 | -1.65000      9.25000 | 12.75000 | -1.65000      9.25000 | 12.75000 | -1.10000
Несоответствие индексов,3837,4472,13.25000 | 12.75000 | 0.00000      13.75000 | 12.75000 | 0.00000,13.25000 | 12.75000 | 0.00000      13.75000 | 12.75000 | 0.00000
Несоответствие индексов,3999,3306,14.75000 | 3.25000 | 9.90000      14.25000 | 3.25000 | 9.90000      14.75000 | 2.75000 | 9.90000      14.25000 | 2.75000 | 9.90000,14.75000 | 3.25000 | 9.90000      14.25000 | 3.25000 | 9.90000      14.25000 | 2.75000 | 9.90000      14.75000 | 2.75000 | 9.90000
Несоответствие индексов,4350,3625,15.75000 | 2.25000 | -3.30000      15.37500 | 2.25000 | -3.30000      15.75000 | 1.75000 | -3.30000      15.37500 | 1.75000 | -3.30000,15.75000 | 2.25000 | -3.30000      15.37500 | 2.25000 | -3.30000      15.37500 | 1.75000 | -3.30000      15.75000 | 1.75000 | -3.30000
Несоответствие индексов,3917,3232,14.25000 | 8.25000 | 3.30000      13.75000 | 8.25000 | 3.30000      14.25000 | 7.75000 | 3.30000      13.75000 | 7.75000 | 3.30000,14.25000 | 8.25000 | 3.30000      13.75000 | 8.25000 | 3.30000      13.75000 | 7.75000 | 3.30000      14.25000 | 7.75000 | 3.30000
Несоответствие индексов,2785,2314,10.25000 | 12.25000 | 9.90000      9.75000 | 12.25000 | 9.90000      10.25000 | 11.75000 | 9.90000      9.75000 | 11.75000 | 9.90000,10.25000 | 12.25000 | 9.90000      9.75000 | 12.25000 | 9.90000      9.75000 | 11.75000 | 9.90000      10.25000 | 11.75000 | 9.90000
Несоответствие индексов,2796,2325,10.25000 | 12.75000 | 0.00000      10.25000 | 12.75000 | -0.55000      9.75000 | 12.75000 | 0.00000      9.75000 | 12.75000 | -0.55000,10.25000 | 12.75000 | 0.00000      10.25000 | 12.75000 | -0.55000      9.75000 | 12.75000 | -0.55000      9.75000 | 12.75000 | 0.00000
Несоответствие индексов,3223,2602,11.25000 | 1.25000 | -3.30000      11.25000 | 0.75000 | -3.30000      11.75000 | 1.12500 | -3.30000      11.75000 | 0.75000 | -3.30000,11.25000 | 1.25000 | -3.30000      11.25000 | 0.75000 | -3.30000      11.75000 | 0.75000 | -3.30000      11.75000 | 1.12500 | -3.30000
Несоответствие индексов,2702,2236,10.17500 | 4.75000 | 6.60000      9.60000 | 4.75000 | 6.60000      10.17500 | 4.25000 | 6.60000      9.60000 | 4.25000 | 6.60000,10.17500 | 4.75000 | 6.60000      9.60000 | 4.75000 | 6.60000      9.60000 | 4.25000 | 6.60000      10.17500 | 4.25000 | 6.60000
Несоответствие индексов,3591,2938,13.25000 | 0.75000 | -2.75000      13.25000 | 0.75000 | -3.30000      12.75000 | 0.75000 | -2.75000      12.75000 | 0.75000 | -3.30000,13.25000 | 0.75000 | -2.75000      13.25000 | 0.75000 | -3.30000      12.75000 | 0.75000 | -3.30000      12.75000 | 0.75000 | -2.75000
Несоответствие индексов,3184,2571,11.25000 | 11.25000 | 0.00000      10.75000 | 11.25000 | 0.00000      11.25000 | 10.75000 | 0.00000      10.75000 | 10.75000 | 0.00000,11.25000 | 11.25000 | 0.00000      10.75000 | 11.25000 | 0.00000      10.75000 | 10.75000 | 0.00000      11.25000 | 10.75000 | 0.00000
Несоответствие индексов,3032,4370,10.75000 | 9.25000 | 9.90000      10.75000 | 9.75000 | 9.90000,10.75000 | 9.25000 | 9.90000      10.75000 | 9.75000 | 9.90000
Несоответствие индексов,4262,3545,15.75000 | 4.75000 | 6.60000      15.25000 | 4.75000 | 6.60000      15.75000 | 4.25000 | 6.60000      15.25000 | 4.25000 | 6.60000,15.75000 | 4.75000 | 6.60000      15.25000 | 4.75000 | 6.60000      15.25000 | 4.25000 | 6.60000      15.75000 | 4.25000 | 6.60000
Несоответствие индексов,4272,3555,15.75000 | 6.25000 | 0.00000      15.25000 | 6.25000 | 0.00000      15.75000 | 5.75000 | 0.00000      15.25000 | 5.75000 | 0.00000,15.75000 | 6.25000 | 0.00000      15.25000 | 6.25000 | 0.00000      15.25000 | 5.75000 | 0.00000      15.75000 | 5.75000 | 0.00000
Несоответствие индексов,2014,1624,7.25000 | 11.75000 | 0.00000      6.75000 | 11.75000 | 0.00000      7.25000 | 11.25000 | 0.00000      6.75000 | 11.25000 | 0.00000,7.25000 | 11.75000 | 0.00000      6.75000 | 11.75000 | 0.00000      6.75000 | 11.25000 | 0.00000      7.25000 | 11.25000 | 0.00000
Несоответствие индексов,3117,2508,11.25000 | 3.25000 | 9.90000      10.75000 | 3.25000 | 9.90000      11.25000 | 2.75000 | 9.90000      10.75000 | 2.75000 | 9.90000,11.25000 | 3.25000 | 9.90000      10.75000 | 3.25000 | 9.90000      10.75000 | 2.75000 | 9.90000      11.25000 | 2.75000 | 9.90000
Несоответствие индексов,1529,1290,5.75000 | 12.75000 | 0.00000      5.25000 | 12.75000 | 0.00000      5.75000 | 12.25000 | 0.00000      5.25000 | 12.25000 | 0.00000,5.75000 | 12.75000 | 0.00000      5.25000 | 12.75000 | 0.00000      5.25000 | 12.25000 | 0.00000      5.75000 | 12.25000 | 0.00000
Несоответствие индексов,4199,3490,15.25000 | 11.75000 | 9.90000      14.75000 | 11.75000 | 9.90000      15.25000 | 11.25000 | 9.90000      14.75000 | 11.25000 | 9.90000,15.25000 | 11.75000 | 9.90000      14.75000 | 11.75000 | 9.90000      14.75000 | 11.25000 | 9.90000      15.25000 | 11.25000 | 9.90000
Несоответствие индексов,4498,4590,15.75000 | 6.75000 | 0.00000      15.75000 | 7.25000 | 0.00000,15.75000 | 6.75000 | 0.00000      15.75000 | 7.25000 | 0.00000
Несоответствие индексов,4387,3649,15.75000 | 1.75000 | -1.65000      15.75000 | 1.25000 | -1.65000      15.75000 | 1.75000 | -2.20000      15.75000 | 1.25000 | -2.20000,15.75000 | 1.75000 | -1.65000      15.75000 | 1.25000 | -1.65000      15.75000 | 1.25000 | -2.20000      15.75000 | 1.75000 | -2.20000
Несоответствие индексов,416,281,1.75000 | 0.75000 | -2.75000      1.75000 | 0.75000 | -3.30000      1.25000 | 0.75000 | -2.75000      1.25000 | 0.75000 | -3.30000,1.75000 | 0.75000 | -2.75000      1.75000 | 0.75000 | -3.30000      1.25000 | 0.75000 | -3.30000      1.25000 | 0.75000 | -2.75000
Несоответствие индексов,461,322,1.75000 | 5.25000 | 6.60000      1.25000 | 5.25000 | 6.60000      1.75000 | 4.75000 | 6.60000      1.25000 | 4.75000 | 6.60000,1.75000 | 5.25000 | 6.60000      1.25000 | 5.25000 | 6.60000      1.25000 | 4.75000 | 6.60000      1.75000 | 4.75000 | 6.60000
Несоответствие индексов,2452,4235,8.75000 | 0.75000 | 9.90000      9.25000 | 0.75000 | 9.90000,8.75000 | 0.75000 | 9.90000      9.25000 | 0.75000 | 9.90000
Несоответствие индексов,2560,2115,9.60000 | 3.96429 | 5.89286      8.92500 | 3.96429 | 5.89286      9.60000 | 3.53571 | 5.65714      8.92500 | 3.53571 | 5.65714,9.60000 | 3.96429 | 5.89286      8.92500 | 3.96429 | 5.89286      8.92500 | 3.53571 | 5.65714      9.60000 | 3.53571 | 5.65714
Несоответствие индексов,429,290,1.75000 | 1.25000 | 6.60000      1.25000 | 1.25000 | 6.60000      1.75000 | 0.75000 | 6.60000      1.25000 | 0.75000 | 6.60000,1.75000 | 1.25000 | 6.60000      1.25000 | 1.25000 | 6.60000      1.25000 | 0.75000 | 6.60000      1.75000 | 0.75000 | 6.60000
Несоответствие индексов,156,90,0.75000 | 7.25000 | -0.55000      0.75000 | 6.75000 | -0.55000      0.75000 | 7.25000 | -1.10000      0.75000 | 6.75000 | -1.10000,0.75000 | 7.25000 | -0.55000      0.75000 | 6.75000 | -0.55000      0.75000 | 6.75000 | -1.10000      0.75000 | 7.25000 | -1.10000
Несоответствие индексов,3476,2831,12.75000 | 1.25000 | 0.00000      12.25000 | 1.25000 | 0.00000      12.75000 | 0.75000 | 0.00000      12.25000 | 0.75000 | 0.00000,12.75000 | 1.25000 | 0.00000      12.25000 | 1.25000 | 0.00000      12.25000 | 0.75000 | 0.00000      12.75000 | 0.75000 | 0.00000
Несоответствие индексов,3681,3020,13.25000 | 10.25000 | 3.30000      12.75000 | 10.25000 | 3.30000      13.25000 | 9.75000 | 3.30000      12.75000 | 9.75000 | 3.30000,13.25000 | 10.25000 | 3.30000      12.75000 | 10.25000 | 3.30000      12.75000 | 9.75000 | 3.30000      13.25000 | 9.75000 | 3.30000
Несоответствие индексов,738,571,2.75000 | 7.75000 | 3.30000      2.25000 | 7.75000 | 3.30000      2.75000 | 7.25000 | 3.30000      2.25000 | 7.25000 | 3.30000,2.75000 | 7.75000 | 3.30000      2.25000 | 7.75000 | 3.30000      2.25000 | 7.25000 | 3.30000      2.75000 | 7.25000 | 3.30000
Несоответствие индексов,3481,2836,12.75000 | 1.75000 | 3.30000      12.25000 | 1.75000 | 3.30000      12.75000 | 1.25000 | 3.30000      12.25000 | 1.25000 | 3.30000,12.75000 | 1.75000 | 3.30000      12.25000 | 1.75000 | 3.30000      12.25000 | 1.25000 | 3.30000      12.75000 | 1.25000 | 3.30000
Несоответствие индексов,1215,1004,4.75000 | 5.25000 | 0.00000      4.25000 | 5.25000 | 0.00000      4.75000 | 4.75000 | 0.00000      4.25000 | 4.75000 | 0.00000,4.75000 | 5.25000 | 0.00000      4.25000 | 5.25000 | 0.00000      4.25000 | 4.75000 | 0.00000      4.75000 | 4.75000 | 0.00000
Несоответствие индексов,2709,2243,10.25000 | 5.75000 | 0.00000      9.75000 | 5.75000 | 0.00000      10.17500 | 5.25000 | 0.00000      9.60000 | 5.25000 | 0.00000,10.25000 | 5.75000 | 0.00000      9.75000 | 5.75000 | 0.00000      9.60000 | 5.25000 | 0.00000      10.17500 | 5.25000 | 0.00000
Несоответствие индексов,929,3985,3.25000 | 0.75000 | 9.90000      3.75000 | 0.75000 | 9.90000,3.25000 | 0.75000 | 9.90000      3.75000 | 0.75000 | 9.90000
Несоответствие индексов,1218,1007,4.75000 | 5.25000 | 9.90000      4.25000 | 5.25000 | 9.90000      4.75000 | 4.75000 | 9.90000      4.25000 | 4.75000 | 9.90000,4.75000 | 5.25000 | 9.90000      4.25000 | 5.25000 | 9.90000      4.25000 | 4.75000 | 9.90000      4.75000 | 4.75000 | 9.90000
Несоответствие индексов,3286,2661,11.75000 | 8.25000 | 0.00000      11.25000 | 8.25000 | 0.00000      11.75000 | 7.75000 | 0.00000      11.25000 | 7.75000 | 0.00000,11.75000 | 8.25000 | 0.00000      11.25000 | 8.25000 | 0.00000      11.25000 | 7.75000 | 0.00000      11.75000 | 7.75000 | 0.00000
Несоответствие индексов,1261,1046,4.75000 | 10.25000 | 0.00000      4.25000 | 10.25000 | 0.00000      4.75000 | 9.75000 | 0.00000      4.25000 | 9.75000 | 0.00000,4.75000 | 10.25000 | 0.00000      4.25000 | 10.25000 | 0.00000      4.25000 | 9.75000 | 0.00000      4.75000 | 9.75000 | 0.00000
Несоответствие индексов,588,437,2.25000 | 5.25000 | 9.90000      1.75000 | 5.25000 | 9.90000      2.25000 | 4.75000 | 9.90000      1.75000 | 4.75000 | 9.90000,2.25000 | 5.25000 | 9.90000      1.75000 | 5.25000 | 9.90000      1.75000 | 4.75000 | 9.90000      2.25000 | 4.75000 | 9.90000
Несоответствие индексов,268,3921,0.75000 | 12.75000 | 6.60000      0.75000 | 12.75000 | 9.90000,0.75000 | 12.75000 | 6.60000      0.75000 | 12.75000 | 9.90000
Несоответствие индексов,369,238,1.25000 | 8.75000 | 6.60000      0.75000 | 8.75000 | 6.60000      1.25000 | 8.25000 | 6.60000      0.75000 | 8.25000 | 6.60000,1.25000 | 8.75000 | 6.60000      0.75000 | 8.75000 | 6.60000      0.75000 | 8.25000 | 6.60000      1.25000 | 8.25000 | 6.60000
Несоответствие индексов,1330,1107,5.25000 | 3.75000 | 3.30000      4.75000 | 3.75000 | 3.30000      5.25000 | 3.25000 | 3.30000      4.75000 | 3.25000 | 3.30000,5.25000 | 3.75000 | 3.30000      4.75000 | 3.75000 | 3.30000      4.75000 | 3.25000 | 3.30000      5.25000 | 3.25000 | 3.30000
Несоответствие индексов,1423,1192,5.75000 | 0.75000 | -0.55000      5.75000 | 0.75000 | -1.10000      5.25000 | 0.75000 | -0.55000      5.25000 | 0.75000 | -1.10000,5.75000 | 0.75000 | -0.55000      5.75000 | 0.75000 | -1.10000      5.25000 | 0.75000 | -1.10000      5.25000 | 0.75000 | -0.55000
Несоответствие индексов,1777,1411,6.25000 | 12.75000 | 9.90000      5.75000 | 12.75000 | 9.90000      6.25000 | 12.25000 | 9.90000      5.75000 | 12.25000 | 9.90000,6.25000 | 12.75000 | 9.90000      5.75000 | 12.75000 | 9.90000      5.75000 | 12.25000 | 9.90000      6.25000 | 12.25000 | 9.90000
Несоответствие индексов,3291,2666,11.75000 | 8.75000 | 3.30000      11.25000 | 8.75000 | 3.30000      11.75000 | 8.25000 | 3.30000      11.25000 | 8.25000 | 3.30000,11.75000 | 8.75000 | 3.30000      11.25000 | 8.75000 | 3.30000      11.25000 | 8.25000 | 3.30000      11.75000 | 8.25000 | 3.30000
Несоответствие индексов,3521,2876,12.75000 | 6.75000 | 3.30000      12.25000 | 6.75000 | 3.30000      12.75000 | 6.25000 | 3.30000      12.25000 | 6.25000 | 3.30000,12.75000 | 6.75000 | 3.30000      12.25000 | 6.75000 | 3.30000      12.25000 | 6.25000 | 3.30000      12.75000 | 6.25000 | 3.30000
Несоответствие индексов,4299,3578,15.75000 | 8.75000 | 3.30000      15.25000 | 8.75000 | 3.30000      15.75000 | 8.25000 | 3.30000      15.25000 | 8.25000 | 3.30000,15.75000 | 8.75000 | 3.30000      15.25000 | 8.75000 | 3.30000      15.25000 | 8.25000 | 3.30000      15.75000 | 8.25000 | 3.30000
Несоответствие индексов,3536,2887,12.75000 | 7.75000 | 6.60000      12.25000 | 7.75000 | 6.60000      12.75000 | 7.25000 | 6.60000      12.25000 | 7.25000 | 6.60000,12.75000 | 7.75000 | 6.60000      12.25000 | 7.75000 | 6.60000      12.25000 | 7.25000 | 6.60000      12.75000 | 7.25000 | 6.60000
