Целевая площадь;Основной шаг;Доп. шаг;Основная арматура;Доп. арматура;Общая площадь;Отклонение (%)
;;;Ø4 мм;Ø8 мм;6.290;948.33
;;;Ø8 мм;Ø4 мм;6.290;948.33
;;;Ø6 мм;Ø8 мм;7.860;1210.00
;;;Ø8 мм;Ø6 мм;7.860;1210.00
;;;Ø3 мм;Ø10 мм;8.560;1326.67
;;;Ø10 мм;Ø3 мм;8.560;1326.67
;;;Ø4 мм;Ø10 мм;9.110;1418.33
;;;Ø10 мм;Ø4 мм;9.110;1418.33
;;;Ø8 мм;Ø8 мм;10.060;1576.67

0.7;0.1;0.1;Ø3 мм;Ø3 мм;1.420;102.86
;;;Ø3 мм;Ø4 мм;1.970;181.43
;;;Ø4 мм;Ø3 мм;1.970;181.43
;;;Ø4 мм;Ø4 мм;2.520;260.00
;;;Ø3 мм;Ø6 мм;3.540;405.71
;;;Ø6 мм;Ø3 мм;3.540;405.71
;;;Ø4 мм;Ø6 мм;4.090;484.29
;;;Ø6 мм;Ø4 мм;4.090;484.29
;;;Ø6 мм;Ø6 мм;5.660;708.57
;;;Ø3 мм;Ø8 мм;5.740;720.00
;;;Ø8 мм;Ø3 мм;5.740;720.00
;;;Ø4 мм;Ø8 мм;6.290;798.57
;;;Ø8 мм;Ø4 мм;6.290;798.57
;;;Ø6 мм;Ø8 мм;7.860;1022.86
;;;Ø8 мм;Ø6 мм;7.860;1022.86
;;;Ø3 мм;Ø10 мм;8.560;1122.86
;;;Ø10 мм;Ø3 мм;8.560;1122.86
;;;Ø4 мм;Ø10 мм;9.110;1201.43
;;;Ø10 мм;Ø4 мм;9.110;1201.43
;;;Ø8 мм;Ø8 мм;10.060;1337.14

0.8;0.1;0.1;Ø3 мм;Ø3 мм;1.420;77.50
;;;Ø3 мм;Ø4 мм;1.970;146.25
;;;Ø4 мм;Ø3 мм;1.970;146.25
;;;Ø4 мм;Ø4 мм;2.520;215.00
;;;Ø3 мм;Ø6 мм;3.540;342.50
;;;Ø6 мм;Ø3 мм;3.540;342.50
;;;Ø4 мм;Ø6 мм;4.090;411.25
;;;Ø6 мм;Ø4 мм;4.090;411.25
;;;Ø6 мм;Ø6 мм;5.660;607.50
;;;Ø3 мм;Ø8 мм;5.740;617.50
;;;Ø8 мм;Ø3 мм;5.740;617.50
;;;Ø4 мм;Ø8 мм;6.290;686.25
;;;Ø8 мм;Ø4 мм;6.290;686.25
;;;Ø6 мм;Ø8 мм;7.860;882.50
;;;Ø8 мм;Ø6 мм;7.860;882.50
;;;Ø3 мм;Ø10 мм;8.560;970.00
;;;Ø10 мм;Ø3 мм;8.560;970.00
;;;Ø4 мм;Ø10 мм;9.110;1038.75
;;;Ø10 мм;Ø4 мм;9.110;1038.75
;;;Ø8 мм;Ø8 мм;10.060;1157.50

0.9;0.1;0.1;Ø3 мм;Ø3 мм;1.420;57.78
;;;Ø3 мм;Ø4 мм;1.970;118.89
;;;Ø4 мм;Ø3 мм;1.970;118.89
;;;Ø4 мм;Ø4 мм;2.520;180.00
;;;Ø3 мм;Ø6 мм;3.540;293.33
;;;Ø6 мм;Ø3 мм;3.540;293.33
;;;Ø4 мм;Ø6 мм;4.090;354.44
