Номер,Индекс координаты,Координаты X,Координаты Y,Координаты Z,Тип,Материал
43,1,0.75,1.25,6.6,5,3
44,0,0.75,0.75,9.9,5,3
44,1,0.75,1.25,9.9,5,3
45,0,0.75,1.75,-2.75,44,7
45,1,0.75,1.25,-2.75,44,7
45,2,0.75,1.75,-3.3,44,7
45,3,0.75,1.25,-3.3,44,7
46,0,0.75,1.75,-2.2,44,7
46,1,0.75,1.25,-2.2,44,7
46,2,0.75,1.75,-2.75,44,7
46,3,0.75,1.25,-2.75,44,7
47,0,0.75,1.75,-1.65,44,7
47,1,0.75,1.25,-1.65,44,7
47,2,0.75,1.75,-2.2,44,7
47,3,0.75,1.25,-2.2,44,7
48,0,0.75,1.75,-1.1,44,7
48,1,0.75,1.25,-1.1,44,7
48,2,0.75,1.75,-1.65,44,7
48,3,0.75,1.25,-1.65,44,7
49,0,0.75,1.75,-0.55,44,7
49,1,0.75,1.25,-0.55,44,7
49,2,0.75,1.75,-1.1,44,7
49,3,0.75,1.25,-1.1,44,7
50,0,0.75,1.75,0,44,7
50,1,0.75,1.25,0,44,7
50,2,0.75,1.75,-0.55,44,7
50,3,0.75,1.25,-0.55,44,7
51,0,0.75,1.25,0,5,3
51,1,0.75,1.75,0,5,3
52,0,0.75,1.25,3.3,5,3
52,1,0.75,1.75,3.3,5,3
53,0,0.75,1.25,6.6,5,3
53,1,0.75,1.75,6.6,5,3
54,0,0.75,1.25,9.9,5,3
54,1,0.75,1.75,9.9,5,3
55,0,0.75,2.25,-2.75,44,7
55,1,0.75,1.75,-2.75,44,7
55,2,0.75,2.25,-3.3,44,7
55,3,0.75,1.75,-3.3,44,7
56,0,0.75,2.25,-2.2,44,7
56,1,0.75,1.75,-2.2,44,7
56,2,0.75,2.25,-2.75,44,7
56,3,0.75,1.75,-2.75,44,7
57,0,0.75,2.25,-1.65,44,7
57,1,0.75,1.75,-1.65,44,7
57,2,0.75,2.25,-2.2,44,7
57,3,0.75,1.75,-2.2,44,7
58,0,0.75,2.25,0,44,7
58,1,0.75,1.75,0,44,7
58,2,0.75,2.25,-0.55,44,7
58,3,0.75,1.75,-0.55,44,7
59,0,0.75,1.75,0,5,3
59,1,0.75,2.25,0,5,3
60,0,0.75,1.75,3.3,5,3
60,1,0.75,2.25,3.3,5,3
61,0,0.75,1.75,6.6,5,3
61,1,0.75,2.25,6.6,5,3
62,0,0.75,1.75,9.9,5,3
62,1,0.75,2.25,9.9,5,3
63,0,0.75,2.75,-2.75,44,7
63,1,0.75,2.25,-2.75,44,7
63,2,0.75,2.75,-3.3,44,7
63,3,0.75,2.25,-3.3,44,7
64,0,0.75,2.75,-2.2,44,7
64,1,0.75,2.25,-2.2,44,7
64,2,0.75,2.75,-2.75,44,7
64,3,0.75,2.25,-2.75,44,7
65,0,0.75,2.75,-1.65,44,7
65,1,0.75,2.25,-1.65,44,7
65,2,0.75,2.75,-2.2,44,7
65,3,0.75,2.25,-2.2,44,7
66,0,0.75,2.75,0,44,7
66,1,0.75,2.25,0,44,7
66,2,0.75,2.75,-0.55,44,7
66,3,0.75,2.25,-0.55,44,7
67,0,0.75,2.25,0,5,3
67,1,0.75,2.75,0,5,3
68,0,0.75,2.25,3.3,5,3
68,1,0.75,2.75,3.3,5,3
69,0,0.75,2.25,6.6,5,3
69,1,0.75,2.75,6.6,5,3
70,0,0.75,2.25,9.9,5,3
70,1,0.75,2.75,9.9,5,3
71,0,0.75,3.25,-2.75,44,7
71,1,0.75,2.75,-2.75,44,7
71,2,0.75,3.25,-3.3,44,7
71,3,0.75,2.75,-3.3,44,7
72,0,0.75,3.25,-2.2,44,7
72,1,0.75,2.75,-2.2,44,7
72,2,0.75,3.25,-2.75,44,7
72,3,0.75,2.75,-2.75,44,7
73,0,0.75,3.25,-1.65,44,7
73,1,0.75,2.75,-1.65,44,7
73,2,0.75,3.25,-2.2,44,7
73,3,0.75,2.75,-2.2,44,7
74,0,0.75,3.25,0,44,7
74,1,0.75,2.75,0,44,7
74,2,0.75,3.25,-0.55,44,7
74,3,0.75,2.75,-0.55,44,7
75,0,0.75,2.75,0,5,3
75,1,0.75,3.25,0,5,3
76,0,0.75,2.75,3.3,5,3
76,1,0.75,3.25,3.3,5,3
77,0,0.75,2.75,6.6,5,3
77,1,0.75,3.25,6.6,5,3
78,0,0.75,2.75,9.9,5,3
78,1,0.75,3.25,9.9,5,3
79,0,0.75,3.75,-2.75,44,7
79,1,0.75,3.25,-2.75,44,7
79,2,0.75,3.75,-3.3,44,7
79,3,0.75,3.25,-3.3,44,7
80,0,0.75,3.75,-2.2,44,7
80,1,0.75,3.25,-2.2,44,7
80,2,0.75,3.75,-2.75,44,7
80,3,0.75,3.25,-2.75,44,7
81,0,0.75,3.75,-1.65,44,7
81,1,0.75,3.25,-1.65,44,7
81,2,0.75,3.75,-2.2,44,7
81,3,0.75,3.25,-2.2,44,7
82,0,0.75,3.75,-1.1,44,7
82,1,0.75,3.25,-1.1,44,7
82,2,0.75,3.75,-1.65,44,7
82,3,0.75,3.25,-1.65,44,7
83,0,0.75,3.75,-0.55,44,7
83,1,0.75,3.25,-0.55,44,7
83,2,0.75,3.75,-1.1,44,7
83,3,0.75,3.25,-1.1,44,7
84,0,0.75,3.75,0,44,7
84,1,0.75,3.25,0,44,7
84,2,0.75,3.75,-0.55,44,7
84,3,0.75,3.25,-0.55,44,7
85,0,0.75,3.25,0,5,3
85,1,0.75,3.75,0,5,3
86,0,0.75,3.25,3.3,5,3
86,1,0.75,3.75,3.3,5,3
87,0,0.75,3.25,6.6,5,3
87,1,0.75,3.75,6.6,5,3
88,0,0.75,3.25,9.9,5,3
88,1,0.75,3.75,9.9,5,3
89,0,0.75,4.25,-2.75,44,7
89,1,0.75,3.75,-2.75,44,7
89,2,0.75,4.25,-3.3,44,7
89,3,0.75,3.75,-3.3,44,7
90,0,0.75,4.25,-2.2,44,7
90,1,0.75,3.75,-2.2,44,7
90,2,0.75,4.25,-2.75,44,7
90,3,0.75,3.75,-2.75,44,7
91,0,0.75,4.25,-1.65,44,7
91,1,0.75,3.75,-1.65,44,7
91,2,0.75,4.25,-2.2,44,7
91,3,0.75,3.75,-2.2,44,7
92,0,0.75,4.25,-1.1,44,7
92,1,0.75,3.75,-1.1,44,7
92,2,0.75,4.25,-1.65,44,7
92,3,0.75,3.75,-1.65,44,7
93,0,0.75,4.25,-0.55,44,7
93,1,0.75,3.75,-0.55,44,7
93,2,0.75,4.25,-1.1,44,7
