Целевая площадь;Основной шаг;Доп. шаг;Основная арматура;Доп. арматура;Общая площадь;Отклонение (%)
2;0.4;0.1;Ø6 мм;Ø6 мм;3.537;76.87
;;;Ø8 мм;Ø6 мм;4.088;104.38
;;;Ø10 мм;Ø6 мм;4.793;139.62
;;;Ø12 мм;Ø6 мм;5.658;182.88
;;;Ø6 мм;Ø8 мм;5.738;186.88

2.5;0.4;0.1;Ø6 мм;Ø6 мм;3.537;41.50
;;;Ø8 мм;Ø6 мм;4.088;63.50
;;;Ø10 мм;Ø6 мм;4.793;91.70
;;;Ø12 мм;Ø6 мм;5.658;126.30
;;;Ø6 мм;Ø8 мм;5.738;129.50

3;0.4;0.1;Ø6 мм;Ø6 мм;3.537;17.92
;;;Ø8 мм;Ø6 мм;4.088;36.25
;;;Ø10 мм;Ø6 мм;4.793;59.75
;;;Ø12 мм;Ø6 мм;5.658;88.58
;;;Ø6 мм;Ø8 мм;5.738;91.25

3.1;0.4;0.1;Ø6 мм;Ø6 мм;3.537;14.11
;;;Ø8 мм;Ø6 мм;4.088;31.85
;;;Ø10 мм;Ø6 мм;4.793;54.60
;;;Ø12 мм;Ø6 мм;5.658;82.50
;;;Ø6 мм;Ø8 мм;5.738;85.08

3.5;0.4;0.1;Ø6 мм;Ø6 мм;3.537;1.07
;;;Ø8 мм;Ø6 мм;4.088;16.79
;;;Ø10 мм;Ø6 мм;4.793;36.93
;;;Ø12 мм;Ø6 мм;5.658;61.64
;;;Ø6 мм;Ø8 мм;5.738;63.93

4;0.4;0.1;Ø6 мм;Ø6 мм;3.537;-11.56
;;;Ø8 мм;Ø6 мм;4.088;2.19
;;;Ø10 мм;Ø6 мм;4.793;19.81
;;;Ø12 мм;Ø6 мм;5.658;41.44
;;;Ø6 мм;Ø8 мм;5.738;43.44

4.5;0.4;0.1;Ø6 мм;Ø6 мм;3.537;-21.39
;;;Ø8 мм;Ø6 мм;4.088;-9.17
;;;Ø10 мм;Ø6 мм;4.793;6.50
;;;Ø12 мм;Ø6 мм;5.658;25.72
;;;Ø6 мм;Ø8 мм;5.738;27.50

5;0.4;0.1;Ø6 мм;Ø6 мм;3.537;-29.25
;;;Ø8 мм;Ø6 мм;4.088;-18.25
;;;Ø10 мм;Ø6 мм;4.793;-4.15
;;;Ø12 мм;Ø6 мм;5.658;13.15
;;;Ø6 мм;Ø8 мм;5.738;14.75

3;0.2;0.2;Ø6 мм;Ø6 мм;2.830;-5.67
;;;Ø6 мм;Ø8 мм;3.930;31.00
;;;Ø8 мм;Ø6 мм;3.930;31.00
;;;Ø8 мм;Ø8 мм;5.030;67.67
;;;Ø6 мм;Ø10 мм;5.340;78.00

3;0.2;0.2;Ø6 мм;Ø6 мм;2.830;-5.67
;;;Ø6 мм;Ø8 мм;3.930;31.00
;;;Ø8 мм;Ø6 мм;3.930;31.00
;;;Ø8 мм;Ø8 мм;5.030;67.67
;;;Ø6 мм;Ø10 мм;5.340;78.00

3;0.2;0.2;Ø6 мм;Ø6 мм;2.830;-5.67
;;;Ø6 мм;Ø8 мм;3.930;31.00
;;;Ø8 мм;Ø6 мм;3.930;31.00
;;;Ø8 мм;Ø8 мм;5.030;67.67
;;;Ø6 мм;Ø10 мм;5.340;78.00

3;0.2;0.2;Ø6 мм;Ø6 мм;2.830;-5.67
;;;Ø6 мм;Ø8 мм;3.930;31.00
;;;Ø8 мм;Ø6 мм;3.930;31.00
;;;Ø8 мм;Ø8 мм;5.030;67.67
;;;Ø6 мм;Ø10 мм;5.340;78.00

3;0.2;0.2;Ø6 мм;Ø6 мм;2.830;-5.67
;;;Ø6 мм;Ø8 мм;3.930;31.00
;;;Ø8 мм;Ø6 мм;3.930;31.00
;;;Ø8 мм;Ø8 мм;5.030;67.67
;;;Ø6 мм;Ø10 мм;5.340;78.00

3;0.2;0.2;Ø6 мм;Ø6 мм;2.830;-5.67
;;;Ø6 мм;Ø8 мм;3.930;31.00
;;;Ø8 мм;Ø6 мм;3.930;31.00
;;;Ø8 мм;Ø8 мм;5.030;67.67
;;;Ø6 мм;Ø10 мм;5.340;78.00

3;0.2;0.1;Ø6 мм;Ø6 мм;4.245;41.50
;;;Ø8 мм;Ø6 мм;5.345;78.17
;;;Ø6 мм;Ø8 мм;6.445;114.83
;;;Ø10 мм;Ø6 мм;6.755;125.17
;;;Ø8 мм;Ø8 мм;7.545;151.50

3;0.2;0.1;Ø6 мм;Ø6 мм;4.245;41.50
;;;Ø8 мм;Ø6 мм;5.345;78.17
;;;Ø6 мм;Ø8 мм;6.445;114.83
;;;Ø10 мм;Ø6 мм;6.755;125.17
;;;Ø8 мм;Ø8 мм;7.545;151.50

3;0.2;0.1;Ø6 мм;Ø6 мм;4.245;41.50
;;;Ø8 мм;Ø6 мм;5.345;78.17
;;;Ø6 мм;Ø8 мм;6.445;114.83
;;;Ø10 мм;Ø6 мм;6.755;125.17
;;;Ø8 мм;Ø8 мм;7.545;151.50

10;0.4;0.2;Ø6 мм;Ø6 мм;2.122;-78.78
;;;Ø8 мм;Ø6 мм;2.673;-73.28
;;;Ø6 мм;Ø8 мм;3.223;-67.78
;;;Ø10 мм;Ø6 мм;3.378;-66.22
;;;Ø8 мм;Ø8 мм;3.773;-62.27

20;0.4;0.2;Ø6 мм;Ø6 мм;2.122;-89.39
;;;Ø8 мм;Ø6 мм;2.673;-86.64
;;;Ø6 мм;Ø8 мм;3.223;-83.89
;;;Ø10 мм;Ø6 мм;3.378;-83.11
;;;Ø8 мм;Ø8 мм;3.773;-81.14

30;0.4;0.2;Ø6 мм;Ø6 мм;2.122;-92.93
;;;Ø8 мм;Ø6 мм;2.673;-91.09
;;;Ø6 мм;Ø8 мм;3.223;-89.26
;;;Ø10 мм;Ø6 мм;3.378;-88.74
;;;Ø8 мм;Ø8 мм;3.773;-87.43

40;0.4;0.2;Ø6 мм;Ø6 мм;2.122;-94.69
;;;Ø8 мм;Ø6 мм;2.673;-93.32
;;;Ø6 мм;Ø8 мм;3.223;-91.94
;;;Ø10 мм;Ø6 мм;3.378;-91.56
;;;Ø8 мм;Ø8 мм;3.773;-90.57

50;0.4;0.2;Ø6 мм;Ø6 мм;2.122;-95.75
;;;Ø8 мм;Ø6 мм;2.673;-94.65
;;;Ø6 мм;Ø8 мм;3.223;-93.56
;;;Ø10 мм;Ø6 мм;3.378;-93.25
;;;Ø8 мм;Ø8 мм;3.773;-92.46

60;0.4;0.2;Ø6 мм;Ø6 мм;2.122;-96.46
;;;Ø8 мм;Ø6 мм;2.673;-95.55
;;;Ø6 мм;Ø8 мм;3.223;-94.63
;;;Ø10 мм;Ø6 мм;3.378;-94.37
;;;Ø8 мм;Ø8 мм;3.773;-93.71

3;0.25;0.5;Ø6 мм;Ø6 мм;1.698;-43.40
;;;Ø6 мм;Ø8 мм;2.138;-28.73
