Целевая площадь;Основной шаг;Доп. шаг;Основная арматура;Доп. арматура;Общая площадь;Отклонение (%)
220;0.2;0.4;Ø50 мм;Ø80 мм;223.825;1.74
;;;Ø70 мм;Ø40 мм;223.825;1.74
;;;Ø70 мм;Ø45 мм;229.900;4.50
;;;Ø60 мм;Ø70 мм;237.550;7.98
;;;Ø70 мм;Ø50 мм;241.475;9.76

240;0.2;0.4;Ø70 мм;Ø50 мм;241.475;0.61
;;;Ø55 мм;Ø80 мм;244.475;1.86
;;;Ø70 мм;Ø55 мм;251.800;4.92
;;;Ø80 мм;Ø6 мм;252.058;5.02
;;;Ø80 мм;Ø8 мм;252.608;5.25

260;0.2;0.4;Ø80 мм;Ø22 мм;260.850;0.33
;;;Ø70 мм;Ø60 мм;263.075;1.18
;;;Ø80 мм;Ø25 мм;263.625;1.39
;;;Ø80 мм;Ø28 мм;266.750;2.60
;;;Ø60 мм;Ø80 мм;267.025;2.70

280;0.2;0.4;Ø80 мм;Ø40 мм;282.775;0.99
;;;Ø70 мм;Ø70 мм;288.600;3.07
;;;Ø80 мм;Ø45 мм;288.850;3.16
;;;Ø80 мм;Ø50 мм;300.425;7.29
;;;Ø80 мм;Ø55 мм;310.750;10.98

300;0.2;0.4;Ø80 мм;Ø50 мм;300.425;0.14
;;;Ø80 мм;Ø55 мм;310.750;3.58
;;;Ø70 мм;Ø80 мм;318.075;6.03
;;;Ø80 мм;Ø60 мм;322.025;7.34
;;;Ø80 мм;Ø70 мм;347.550;15.85

320;0.2;0.4;Ø80 мм;Ø60 мм;322.025;0.63
;;;Ø80 мм;Ø70 мм;347.550;8.61
;;;Ø80 мм;Ø80 мм;377.025;17.82

340;0.2;0.4;Ø80 мм;Ø70 мм;347.550;2.22
;;;Ø80 мм;Ø80 мм;377.025;10.89

360;0.2;0.4;Ø80 мм;Ø80 мм;377.025;4.73

380;0.2;0.4;Комбинации не найдены;;;;

400;0.6;0.3;Комбинации не найдены;;;;

420;0.6;0.3;Комбинации не найдены;;;;

440;0.6;0.3;Комбинации не найдены;;;;

460;0.6;0.3;Комбинации не найдены;;;;

480;0.6;0.3;Комбинации не найдены;;;;

500;0.2;0.4;Комбинации не найдены;;;;

520;0.2;0.4;Комбинации не найдены;;;;

540;0.2;0.4;Комбинации не найдены;;;;

560;0.2;0.4;Комбинации не найдены;;;;

580;0.2;0.4;Комбинации не найдены;;;;

