Целевая площадь;Основной шаг;Доп. шаг;Основная арматура;Доп. арматура;Общая площадь;Отклонение (%)
0.1;0.2;0.2;Ø3 мм;Нет;0.355;255.00

0.2;0.2;0.2;Ø3 мм;Нет;0.355;77.50

0.3;0.2;0.2;Ø3 мм;Нет;0.355;18.33

0.4;0.2;0.2;Ø4 мм;Нет;0.630;57.50

0.5;0.2;0.2;Ø4 мм;Нет;0.630;26.00

0.6;0.2;0.2;Ø3 мм;Ø3 мм;0.710;18.33

0.7;0.2;0.2;Ø3 мм;Ø3 мм;0.710;1.43

0.8;0.2;0.2;Ø6 мм;Нет;1.415;76.87

0.9;0.2;0.2;Ø3 мм;Ø4 мм;0.985;9.44
;;;Ø4 мм;Ø3 мм;0.985;9.44

1;0.4;0.2;Ø6 мм;Ø3 мм;1.062;6.25

1.1;0.4;0.2;Ø8 мм;Нет;1.258;14.32

1.2;0.4;0.2;Ø6 мм;Ø4 мм;1.337;11.46

1.3;0.4;0.2;Ø6 мм;Ø4 мм;1.337;2.88

1.4;0.4;0.2;Ø3 мм;Ø6 мм;1.592;13.75
;;;Ø8 мм;Ø3 мм;1.613;15.18

1.5;0.4;0.2;Ø3 мм;Ø6 мм;1.592;6.17
;;;Ø8 мм;Ø3 мм;1.613;7.50
;;;Ø4 мм;Ø6 мм;1.730;15.33

1.6;0.4;0.2;Ø8 мм;Ø3 мм;1.613;0.78
;;;Ø4 мм;Ø6 мм;1.730;8.12
;;;Ø8 мм;Ø4 мм;1.888;17.97

1.7;0.4;0.2;Ø4 мм;Ø6 мм;1.730;1.76
;;;Ø8 мм;Ø4 мм;1.888;11.03

1.8;0.4;0.2;Ø8 мм;Ø4 мм;1.888;4.86
;;;Ø6 мм;Ø6 мм;2.122;17.92

1.9;0.4;0.2;Ø6 мм;Ø6 мм;2.122;11.71

2;0.4;0.1;Ø12 мм;Нет;2.828;41.38

2.2;0.4;0.1;Ø8 мм;Ø4 мм;2.517;14.43

