Целевая площадь;Основной шаг;Доп. шаг;Основная арматура;Доп. арматура;Общая площадь;Отклонение (%)
0.1;0.1;0.1;Ø3 мм;Нет;0.710;610.00
;;;Ø4 мм;Нет;1.260;1160.00
;;;Ø6 мм;Нет;2.830;2730.00
;;;Ø8 мм;Нет;5.030;4930.00
;;;Ø10 мм;Нет;7.850;7750.00
;;;Ø12 мм;Нет;11.310;11210.00
;;;Ø14 мм;Нет;15.400;15300.00
;;;Ø16 мм;Нет;20.100;20000.00

0.2;0.1;0.1;Ø3 мм;Нет;0.710;255.00
;;;Ø4 мм;Нет;1.260;530.00
;;;Ø6 мм;Нет;2.830;1315.00
;;;Ø8 мм;Нет;5.030;2415.00
;;;Ø10 мм;Нет;7.850;3825.00
;;;Ø12 мм;Нет;11.310;5555.00
;;;Ø14 мм;Нет;15.400;7600.00
;;;Ø16 мм;Нет;20.100;9950.00

0.3;0.1;0.1;Ø3 мм;Нет;0.710;136.67
;;;Ø4 мм;Нет;1.260;320.00
;;;Ø6 мм;Нет;2.830;843.33
;;;Ø8 мм;Нет;5.030;1576.67
;;;Ø10 мм;Нет;7.850;2516.67
;;;Ø12 мм;Нет;11.310;3670.00
;;;Ø14 мм;Нет;15.400;5033.33
;;;Ø16 мм;Нет;20.100;6600.00

0.4;0.1;0.1;Ø3 мм;Нет;0.710;77.50
;;;Ø4 мм;Нет;1.260;215.00
;;;Ø6 мм;Нет;2.830;607.50
;;;Ø8 мм;Нет;5.030;1157.50
;;;Ø10 мм;Нет;7.850;1862.50
;;;Ø12 мм;Нет;11.310;2727.50
;;;Ø14 мм;Нет;15.400;3750.00
;;;Ø16 мм;Нет;20.100;4925.00

0.5;0.1;0.1;Ø3 мм;Нет;0.710;42.00
;;;Ø4 мм;Нет;1.260;152.00
;;;Ø6 мм;Нет;2.830;466.00
;;;Ø8 мм;Нет;5.030;906.00
;;;Ø10 мм;Нет;7.850;1470.00
;;;Ø12 мм;Нет;11.310;2162.00
;;;Ø14 мм;Нет;15.400;2980.00
;;;Ø16 мм;Нет;20.100;3920.00

0.6;0.1;0.1;Ø3 мм;Нет;0.710;18.33
;;;Ø4 мм;Нет;1.260;110.00
;;;Ø6 мм;Нет;2.830;371.67
;;;Ø8 мм;Нет;5.030;738.33
;;;Ø10 мм;Нет;7.850;1208.33
;;;Ø12 мм;Нет;11.310;1785.00
;;;Ø14 мм;Нет;15.400;2466.67
;;;Ø16 мм;Нет;20.100;3250.00

0.7;0.1;0.1;Ø3 мм;Нет;0.710;1.43
;;;Ø4 мм;Нет;1.260;80.00
;;;Ø6 мм;Нет;2.830;304.29
;;;Ø8 мм;Нет;5.030;618.57
;;;Ø10 мм;Нет;7.850;1021.43
;;;Ø12 мм;Нет;11.310;1515.71
;;;Ø14 мм;Нет;15.400;2100.00
;;;Ø16 мм;Нет;20.100;2771.43

0.8;0.1;0.1;Ø3 мм;Нет;0.710;-11.25
;;;Ø4 мм;Нет;1.260;57.50
;;;Ø6 мм;Нет;2.830;253.75
;;;Ø8 мм;Нет;5.030;528.75
;;;Ø10 мм;Нет;7.850;881.25
;;;Ø12 мм;Нет;11.310;1313.75
;;;Ø14 мм;Нет;15.400;1825.00
;;;Ø16 мм;Нет;20.100;2412.50

0.9;0.1;0.1;Ø3 мм;Нет;0.710;-21.11
;;;Ø4 мм;Нет;1.260;40.00
;;;Ø6 мм;Нет;2.830;214.44
;;;Ø8 мм;Нет;5.030;458.89
;;;Ø10 мм;Нет;7.850;772.22
;;;Ø12 мм;Нет;11.310;1156.67
;;;Ø14 мм;Нет;15.400;1611.11
;;;Ø16 мм;Нет;20.100;2133.33

1;0.4;0.2;Ø6 мм;Ø3 мм;1.062;6.25

1.1;0.4;0.2;Ø8 мм;Нет;1.258;14.32
;;;Ø6 мм;Нет;0.707;-35.68
;;;Ø4 мм;Нет;0.315;-71.36
;;;Ø10 мм;Нет;1.963;78.41
;;;Ø3 мм;Нет;0.178;-83.86
;;;Ø12 мм;Нет;2.828;157.05
;;;Ø14 мм;Нет;3.850;250.00
;;;Ø16 мм;Нет;5.025;356.82

